loinc,ig_display,loinc_display,ucum_suggested,source,verification,note
10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma,Cancer Ag 125 [Units/volume] in Serum or Plasma,[arb'U];[arb'U]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
103892-6,DBT Brst Screening,DBT Breast screening,,LOINC 未提供建議單位,LOINC 未提供,
10701-1,Ova and parasites [Presence] in Stool by Concentration method,Ova and parasites identified in Stool by Concentration,,LOINC 未提供建議單位,LOINC 未提供,
10704-5,Ova and parasites [Presence] in Stool by Microscopy,Ova and parasites identified in Stool by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
10834-0,Globulin [Mass/volume] in Serum or Plasma by calculation,Globulin [Mass/volume] in Serum by calculation,g/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
10835-7,Lipoprotein A [Mass/volume] in Serum or Plasma,Lipoprotein a [Mass/volume] in Serum or Plasma,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
10886-0,Prostate specific Ag.free [Mass/volume] in Serum or Plasma,Prostate Specific Ag Free [Mass/volume] in Serum or Plasma,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
10909-0,Benzidine [Mass/volume] in Urine,Benzidine [Mass/volume] in Urine,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
10913-2,"4,4'-Methylenebis(2-chloroaniline) [Mass/volume] in Urine","4,4'-Methylene bis(2-Chloroaniline) [Mass/volume] in Urine",ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
11212-8,Coproporphyrin [Mass/volume] in Urine,Coproporphyrin [Mass/volume] in Urine,ug/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
