loinc,ig_display,loinc_display,ucum_suggested,source,verification,note
11215-1,Aminolevulinic acid [Mass/volume] in Urine,Delta aminolevulinate [Mass/volume] in Urine,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
11218-5,Microalbumin [Mass/volume] in Urine by Test strip,Microalbumin [Mass/volume] in Urine by Test strip,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
11277-1,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
11524-6,EKG study,EKG study,,LOINC 未提供建議單位,LOINC 未提供,
11572-5,Rheumatoid factor [Units/volume] in Serum or Plasma,Rheumatoid factor [Units/volume] in Serum or Plasma,[IU]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
11580-8,Thyrotropin [Units/volume] in Serum or Plasma,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,m[IU]/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
12453-7,Amorphous phosphate crystals [Presence] in Urine sediment,Phosphate crystals amorphous [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
12454-5,Amorphous urate crystals [Presence] in Urine sediment,Urate crystals amorphous [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
12533-6,TTCA [Mass/volume] in Urine,Thiazolidine-2-Thione-4-Carboxylic acid [Mass/volume] in Urine,,LOINC 未提供建議單位,LOINC 未提供,
12543-5,Methylformamide [Mass/volume] in Urine,Methyl formamide [Mass/volume] in Urine,mg/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
13000-5,Mandelate [Mass/volume] in Urine,Mandelate [Mass/volume] in Urine,,LOINC 未提供建議單位,LOINC 未提供,
13046-8,Atypical lymphocytes/100 leukocytes in Blood,Variant lymphocytes/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
13047-6,Plasma cells/100 leukocytes in Blood,Plasma cells/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
13458-5,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
13464-3,Chromium/Creatinine [Mass Ratio] in Urine,Chromium/Creatinine [Mass Ratio] in Urine,ug/g{creat},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
13471-8,Cadmium/Creatinine [Mass Ratio] in Urine,Cadmium/Creatinine [Mass Ratio] in Urine,ug/g{creat},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
13655-6,Leukocytes [Presence] in Stool by Microscopy,Leukocytes [Presence] in Stool by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
13658-0,Urobilinogen [Presence] in Urine by Test strip,Urobilinogen [Presence] in Urine,,LOINC 未提供建議單位,LOINC 未提供,
13945-1,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
13950-1,Hepatitis A virus IgM Ab [Presence] in Serum or Plasma,Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay,,LOINC 未提供建議單位,LOINC 未提供,
13952-7,Hepatitis B virus core Ab [Presence] in Serum or Plasma,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay,,LOINC 未提供建議單位,LOINC 未提供,
13965-9,Homocysteine [Moles/volume] in Serum or Plasma,Homocysteine [Moles/volume] in Serum or Plasma,umol/L,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
14099-6,Nickel [Mass/volume] in Urine,Nickel [Mass/volume] in Urine,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
14957-5,Microalbumin [Mass/volume] in Urine,Microalbumin [Mass/volume] in Urine,ug/mL;mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,Fasting glucose [Mass/volume] in Serum or Plasma,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
1709-5,Acetylcholinesterase [Enzymatic activity/volume] in Red Blood Cells,Acetylcholinesterase [Enzymatic activity/volume] in Red Blood Cells,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,LOINC 狀態：DISCOURAGED
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,U/L,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
1744-2,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin [Mass/volume] in Serum or Plasma,g/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1759-0,Albumin/Globulin [Mass Ratio] in Serum or Plasma,Albumin/Globulin [Mass Ratio] in Serum or Plasma,{ratio},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
17780-8,Helicobacter pylori Ag [Presence] in Stool,Helicobacter pylori Ag [Presence] in Stool by Immunoassay,,LOINC 未提供建議單位,LOINC 未提供,
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium [Mass/volume] in Serum or Plasma,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase [Enzymatic activity/volume] in Serum or Plasma,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
1834-1,Alpha-1-fetoprotein [Mass/volume] in Serum or Plasma,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1869-7,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,mg/dL;g/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1884-6,Apolipoprotein B [Mass/volume] in Serum or Plasma,Apolipoprotein B [Mass/volume] in Serum or Plasma,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
19048-8,Erythroblasts/100 leukocytes in Blood by Automated count,Nucleated erythrocytes/Leukocytes [Ratio] in Blood,/100{WBCs},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
19113-0,IgE [Units/volume] in Serum or Plasma,IgE [Units/volume] in Serum or Plasma,[IU]/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
19177-5,Alpha-1-fetoprotein [Mass/volume] in Serum or Plasma,Alpha-1-Fetoprotein [Moles/volume] in Serum or Plasma,umol/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
19252-6,Megakaryocytes/Leukocytes in Blood,Megakaryocytes/Leukocytes in Blood,%,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirubin.direct [Mass/volume] in Serum or Plasma,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin.total [Mass/volume] in Serum or Plasma,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1984-4,Bromide [Mass/volume] in Serum or Plasma,Bromide [Mass/volume] in Serum or Plasma,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1985-1,Bromide [Mass/volume] in Urine,Bromide [Mass/volume] in Urine,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
19868-9,Forced vital capacity [Volume] Respiratory system by Spirometry,Forced vital capacity [Volume] Respiratory system by Spirometry,L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
19876-2,Forced vital capacity [Volume] Respiratory system by Spirometry --pre bronchodilation,Forced vital capacity [Volume] Respiratory system by Spirometry --pre bronchodilation,L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein [Mass/volume] in Serum or Plasma,mg/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
19926-5,FEV1/FVC,FEV1/FVC,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
20150-9,FEV1,FEV1,L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
20448-7,Insulin [Units/volume] in Serum or Plasma,Insulin [Units/volume] in Serum or Plasma,u[IU]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
20456-0,Fungi yeast-like [Presence] in Urine sediment,Fungi.yeastlike [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
20507-0,Reagin Ab [Presence] in Serum by RPR,Reagin Ab [Presence] in Serum by RPR,,LOINC 未提供建議單位,LOINC 未提供,
20621-9,Albumin/Creatinine [Ratio] in Urine by Test strip,Albumin/Creatinine [Mass Ratio] in Urine by Test strip,,LOINC 未提供建議單位,LOINC 未提供,
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride [Moles/volume] in Serum or Plasma,mmol/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol in HDL [Mass/volume] in Serum or Plasma,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,Cholesterol in LDL [Mass/volume] in Serum or Plasma,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol [Mass/volume] in Serum or Plasma,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
2098-2,Cholinesterase [Enzymatic activity/volume] in Serum or Plasma,Cholinesterase [Enzymatic activity/volume] in Serum or Plasma,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,pg/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
21440-3,Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA [Presence] in Cervix by Probe,Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA [Presence] in Cervix by Probe,,LOINC 未提供建議單位,LOINC 未提供,
2160-0,Creatinine [Mass/volume] in Serum or Plasma,Creatinine [Mass/volume] in Serum or Plasma,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
2161-8,Creatinine [Mass/volume] in Urine,Creatinine [Mass/volume] in Urine,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
22322-2,Hepatitis B virus surface Ab [Units/volume] in Serum,Hepatitis B virus surface Ab [Presence] in Serum,,LOINC 未提供建議單位,LOINC 未提供,
2284-8,Folate [Mass/volume] in Serum or Plasma,Folate [Mass/volume] in Serum or Plasma,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2324-2,Gamma glutamyltransferase [Enzymatic activity/volume] in Serum or Plasma,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2335-8,Hemoglobin [Presence] in Stool,Hemoglobin [Presence] in Stool from gastrointestinal,,LOINC 未提供建議單位,LOINC 未提供,
2339-0,Glucose [Mass/volume] in Blood,Glucose [Mass/volume] in Blood,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
2345-7,Glucose [Mass/volume] in Serum or Plasma,Glucose [Mass/volume] in Serum or Plasma,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
23749-5,Lead [Mass/volume] in Specimen,Lead [Mass/volume] in Specimen,ug/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
24108-3,Cancer Ag 19-9 [Units/volume] in Serum or Plasma,Cancer Ag 19-9 [Units/volume] in Serum or Plasma,[arb'U];[arb'U]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
24110-9,Treponema pallidum Ab [Presence] in Serum by Immunoassay,Treponema pallidum Ab [Presence] in Serum by Immunoassay,,LOINC 未提供建議單位,LOINC 未提供,
2428-1,Homocysteine [Moles/volume] in Serum or Plasma,Homocysteine [Mass/volume] in Serum or Plasma,,LOINC 未提供建議單位,LOINC 未提供,
24558-9,Ultrasound of abdomen study,US Abdomen,,LOINC 未提供建議單位,LOINC 未提供,
24579-5,XR Bones.long Survey,XR Long bones Survey Views,,LOINC 未提供建議單位,LOINC 未提供,
24590-2,MR Brain,MR Brain,,LOINC 未提供建議單位,LOINC 未提供,
24606-6,MG Breast Screening,MG Breast Screening,,LOINC 未提供建議單位,LOINC 未提供,
24616-5,US Carotid aa,US Carotid arteries,,LOINC 未提供建議單位,LOINC 未提供,
24648-8,XR Chest PA upright,XR Chest PA upright,,LOINC 未提供建議單位,LOINC 未提供,
24829-4,XR Mandible Views,XR Mandible Views,,LOINC 未提供建議單位,LOINC 未提供,
25010-0,US Thyroid,US Thyroid gland,,LOINC 未提供建議單位,LOINC 未提供,
25145-4,Bacteria [Presence] in Urine sediment by Light microscopy,Bacteria [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
2532-0,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,LOINC 狀態：DISCOURAGED
25390-6,CYFRA 21-1 [Mass/volume] in Serum or Plasma,Cytokeratin 19 [Mass/volume] in Serum or Plasma,,LOINC 未提供建議單位,LOINC 未提供,
2571-8,Triglyceride [Mass/volume] in Serum or Plasma,Triglyceride [Mass/volume] in Serum or Plasma,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
26446-5,Blasts/100 leukocytes in Blood,Blasts/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26450-7,Eosinophils/100 leukocytes in Blood by Manual count,Eosinophils/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26464-8,WBC [#/volume] in Blood,Leukocytes [#/volume] in Blood,10*3/uL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26478-8,Lymphocytes/100 leukocytes in Blood by Manual count,Lymphocytes/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26485-3,Monocytes/100 leukocytes in Blood by Manual count,Monocytes/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26498-6,Myelocytes/100 leukocytes in Blood,Myelocytes/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26505-8,Hypersegmented neutrophils/100 leukocytes in Blood,Segmented neutrophils/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26508-2,Neutrophils/100 leukocytes in Blood by Manual count,Band form neutrophils/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26511-6,Neutrophils.segmented/100 leukocytes in Blood,Neutrophils/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26515-7,Platelets [#/volume] in Blood by Automated count,Platelets [#/volume] in Blood,10*3/uL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
26524-9,Promyelocytes/100 leukocytes in Blood,Promyelocytes/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2725-0,p-Methylhippurate [Mass/volume] in Urine,Para methylhippurate [Mass/volume] in Urine,mg/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2758-1,Phenol [Mass/volume] in Urine,Phenol [Mass/volume] in Urine,mg/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2777-1,Phosphate [Mass/volume] in Serum or Plasma,Phosphate [Mass/volume] in Serum or Plasma,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
28014-9,EGD Study,EGD Study,,LOINC 未提供建議單位,LOINC 未提供,
28023-0,Colonoscopy Study,Colonoscopy Study observation,,LOINC 未提供建議單位,LOINC 未提供,
2823-3,Potassium [Moles/volume] in Serum or Plasma,Potassium [Moles/volume] in Serum or Plasma,mmol/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
28539-5,MCH [Entitic mass] by Automated count,MCH [Entitic mass],pg,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
28541-1,Metamyelocytes/100 leukocytes in Blood,Metamyelocytes/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma,Prostate specific Ag [Mass/volume] in Serum or Plasma,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2885-2,Protein [Mass/volume] in Serum or Plasma,Protein [Mass/volume] in Serum or Plasma,g/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
2888-6,Protein [Mass/volume] in Urine,Protein [Mass/volume] in Urine,g/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
29463-7,Body weight,Body weight,[lb_av];kg,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
2951-2,Sodium [Moles/volume] in Serum or Plasma,Sodium [Moles/volume] in Serum or Plasma,mmol/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
29771-3,Hemoglobin.occult [Mass/volume] in Stool by Immunochemical method,Hemoglobin [Presence] in Stool from gastrointestinal lower by Immunoassay,,LOINC 未提供建議單位,LOINC 未提供,
30004-6,Creatinine [Mass/volume] in Urine by Test strip,Creatinine [Mass/volume] in Urine by Test strip,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
3016-3,Thyrotropin [Units/volume] in Serum or Plasma by 3rd IS,Thyrotropin [Units/volume] in Serum or Plasma,m[IU]/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
30180-4,Basophils/100 leukocytes in Blood by Manual count,Basophils/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
30239-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,U/L,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,ng/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
3026-2,Thyroxine (T4) total [Mass/volume] in Serum or Plasma,Thyroxine (T4) [Mass/volume] in Serum or Plasma,ug/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma,Lipase [Enzymatic activity/volume] in Serum or Plasma,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
3041-1,Trichloroacetate [Mass/volume] in Urine,Trichloroacetate [Mass/volume] in Urine,ug/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
30413-9,Abnormal lymphocytes/100 leukocytes in Blood,Abnormal lymphocytes/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
30428-7,MCV [Entitic volume] by calculation,MCV [Entitic mean volume] in Red Blood Cells,fL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
3043-7,Triglyceride [Mass/volume] in Blood,Triglyceride [Mass/volume] in Blood,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
30441-0,Abnormal monocytes/100 leukocytes in Blood,Monocytes Abnormal/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
30466-7,Promonocytes/100 leukocytes in Blood,Promonocytes/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
3051-0,Triiodothyronine (T3) free [Mass/volume] in Serum or Plasma,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,pg/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,mg/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
3053-6,Triiodothyronine (T3) total [Mass/volume] in Serum or Plasma,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,ng/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
