URL,Version,Status,OIDs,Name,Title,Description,Used
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-BetelNutStatus,0.10.1,active,,CS_BetelNutStatus,嚼檳榔狀態代碼系統,"【主管機關：國民健康署】勞工健檢生活習慣調查中之嚼檳榔狀態分類，與吸菸狀態（CS-SmokingStatus）逐碼對稱。（**provisional**：本代碼系統為工作小組建議之本地代碼配置，**尚待主管機關確認官方代碼與定義（M-5）**；不得表述為已對接官方申報系統。）","ValueSet/VS-BetelNutStatus"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-ExamType,0.10.1,active,,CS_ExamType,檢查類型代碼系統,"【技術規格】勞工體格及健康檢查之類型，包含一般體格檢查、一般健康檢查、特殊體格檢查及特殊健康檢查。","ValueSet/VS-ExamType"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-FitnessForWork,0.10.1,draft,,CS_FitnessForWork,適性配工建議代碼系統,"【依據：勞工健康保護規則附表】第四級管理中，醫師針對受檢勞工提出之適性配工或變更作業內容建議。（**provisional**：本代碼系統為工作小組建議之本地代碼配置，**尚待勞動部職業安全衛生署確認官方代碼與定義（M-2）**；不得表述為已對接官方申報系統。）","ValueSet/VS-FitnessForWork"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-HazardType,0.10.1,draft,,CS_HazardType,特別危害健康作業類別代碼系統,"【依據：勞工健康保護規則附表】勞工健康保護規則所定義之特別危害健康作業，歸併為 12 危害家族（家族層）。附表十（115.06.26 修正）逐號列舉之 35 項法定具名作業另以 CS-Appendix10Operation 表示，家族 ↔ 具名作業之對映見 ConceptMap Appendix10-to-HazardType。","ValueSet/VS-HazardType,ConceptMap/Appendix10-to-HazardType"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-HealthCounseling,0.10.1,active,,CS_HealthCounseling,健康諮詢與衛教指導項目代碼系統,"【技術規格】國民健康署成人預防保健服務及一般健康檢查中醫師提供之健康諮詢與衛教指導項目。","ValueSet/VS-HealthCounseling"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-HealthMgmtLevel,0.10.1,draft,,CS_HealthMgmtLevel,健康管理分級代碼系統,"【依據：勞工健康保護規則附表】依據勞工健康保護規則第 21 條規定，醫師依健康檢查結果判定之健康管理分級。（**provisional**：本代碼系統為工作小組建議之本地代碼配置，**尚待勞動部職業安全衛生署確認官方代碼與定義（M-2）**；不得表述為已對接官方申報系統。）","ValueSet/VS-HealthMgmtLevel"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-LaborReportCode,0.10.1,draft,,CS_LaborReportCode,勞動部通報報告代碼系統,"【依據：勞工健康保護規則附表】勞工健檢結果通報勞動部（LABOR）系統時所使用之報告類別代碼。（**provisional**：本代碼系統為工作小組建議之本地代碼配置，**尚待勞動部職業安全衛生署確認官方代碼與定義（M-2）**；不得表述為已對接官方申報系統。）","ValueSet/VS-LaborReportCode"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-OrganicSolventType,0.10.1,draft,,CS_OrganicSolventType,有機溶劑種類代碼系統,"【依據：勞工健康保護規則附表】特別危害健康作業中之有機溶劑種類（主要 7 種）。","ValueSet/VS-OrganicSolventType"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-PhysicalExamSystems,0.10.1,draft,,CS_PhysicalExamSystems,身體檢查系統部位代碼系統,"【依據：勞工健康保護規則附表】附表十一理學檢查中所涉及之身體系統部位分類。","ValueSet/VS-PhysicalExamSystems"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-ServiceActivityType,0.10.1,draft,,CS_ServiceActivityType,臨場健康服務辦理事項代碼系統,"【依據：勞工健康保護規則附表】附表八中醫護人員辦理之臨場健康服務項目活動類別代碼系統。（**provisional**：本地代碼配置，尚待勞動部職業安全衛生署確認官方代碼與定義（M-2）。另因 SNOMED 現無適切之職業健康諮詢 procedure 代碼，改善建議諮詢暫以本代碼系統承載，該用法列為本地碼治理事項。）","ValueSet/VS-ServiceActivityType"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-SmokingStatus,0.10.1,active,,CS_SmokingStatus,吸菸狀態代碼系統,"【主管機關：國民健康署】勞工健檢生活習慣調查中之吸菸狀態分類。","ValueSet/VS-SmokingStatus"
https://twcore.mohw.gov.tw/ig/twha/CodeSystem/CS-SpecificChemicalType,0.10.1,draft,,CS_SpecificChemicalType,特定化學物質種類代碼系統,"【依據：勞工健康保護規則附表】特別危害健康作業中之特定化學物質種類。","ValueSet/VS-SpecificChemicalType"
