code,ig_display,loinc_display,loinc_status,overlap,verdict,files
2777-1,Phosphate [Mass/volume] in Serum or Plasma,Phosphate [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
28014-9,EGD Study,EGD Study,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
28023-0,Colonoscopy Study,Colonoscopy Study observation,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
2823-3,Potassium [Moles/volume] in Serum or Plasma,Potassium [Moles/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
28539-5,MCH [Entitic mass] by Automated count,MCH [Entitic mass],ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
28541-1,Metamyelocytes/100 leukocytes in Blood,Metamyelocytes/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma,Prostate specific Ag [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
2885-2,Protein [Mass/volume] in Serum or Plasma,Protein [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2888-6,Protein [Mass/volume] in Urine,Protein [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
29463-7,Body weight,Body weight,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh; input/fsh/valuesets/VS-TWHAVitalSigns.fsh
2951-2,Sodium [Moles/volume] in Serum or Plasma,Sodium [Moles/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
29545-1,Physical findings note,Physical findings note,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/profiles/TWHA-PhysicalExam.fsh
29771-3,Hemoglobin.occult [Mass/volume] in Stool by Immunochemical method,Hemoglobin [Presence] in Stool from gastrointestinal lower by Immunoassay,ACTIVE,0.40,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
30004-6,Creatinine [Mass/volume] in Urine by Test strip,Creatinine [Mass/volume] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
3016-3,Thyrotropin [Units/volume] in Serum or Plasma by 3rd IS,Thyrotropin [Units/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
30180-4,Basophils/100 leukocytes in Blood by Manual count,Basophils/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
3026-2,Thyroxine (T4) total [Mass/volume] in Serum or Plasma,Thyroxine (T4) [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma,Lipase [Enzymatic activity/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
3041-1,Trichloroacetate [Mass/volume] in Urine,Trichloroacetate [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
30413-9,Abnormal lymphocytes/100 leukocytes in Blood,Abnormal lymphocytes/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
30428-7,MCV [Entitic volume] by calculation,MCV [Entitic mean volume] in Red Blood Cells,ACTIVE,0.67,部分相符（建議人工判讀）,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
3043-7,Triglyceride [Mass/volume] in Blood,Triglyceride [Mass/volume] in Blood,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
30441-0,Abnormal monocytes/100 leukocytes in Blood,Monocytes Abnormal/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
30466-7,Promonocytes/100 leukocytes in Blood,Promonocytes/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
3051-0,Triiodothyronine (T3) free [Mass/volume] in Serum or Plasma,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
3053-6,Triiodothyronine (T3) total [Mass/volume] in Serum or Plasma,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
3084-1,Uric acid [Mass/volume] in Serum or Plasma,Urate [Mass/volume] in Serum or Plasma,ACTIVE,0.67,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,Urea nitrogen [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
31147-2,Reagin Ab [Presence] in Serum by RPR -- titer,Reagin Ab [Titer] in Serum by RPR,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
31170-4,"2,5-Hexanedione [Mass/volume] in Urine","2,5-Hexanedione [Mass/volume] in Urine",ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
32356-8,Yeast [Presence] in Urine sediment,Yeast [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
33218-9,Bacteria [#/volume] in Urine sediment by Automated count,Bacteria [#/area] in Urine sediment by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
33219-7,Epithelial cells.squamous [#/volume] in Urine sediment by Automated count,Epithelial cells.squamous [#/area] in Urine sediment by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
33223-9,Hyaline casts [#/volume] in Urine sediment by Automated count,Hyaline casts [#/area] in Urine sediment by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
33342-7,Epithelial cells [#/volume] in Urine sediment by Automated count,Epithelial cells [#/area] in Urine sediment by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
33668-5,Erythrocytes [Presence] in Stool by Microscopy,Erythrocytes [Presence] in Stool,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
33762-6,Natriuretic peptide.proB-type N-terminal [Mass/volume] in Serum or Plasma,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,ACTIVE,0.75,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
33863-2,"Cystatin C [Mass/volume] in Serum, Plasma or Blood",Cystatin C [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
33914-3,Glomerular filtration rate/1.73 sq M.predicted by MDRD equation,Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,DISCOURAGED,0.75,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
34133-9,Summary of episode note,Summary of episode note,ACTIVE,1.00,相符,input/fsh/profiles/TWHA-Composition-ServiceRecord.fsh
34304-6,Fluoride [Mass/volume] in Urine,Fluoride [Moles/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
34921-7,Plasmacytoid lymphocytes/100 leukocytes in Blood,Lymphocytes Plasmacytoid/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
35200-5,Cholesterol [Mass or Moles/volume] in Serum or Plasma,Cholesterol [Mass or Moles/volume] in Serum or Plasma,DISCOURAGED,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
36643-5,XR Chest 2 Views,XR Chest 2 Views,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
38268-9,DXA Skeletal Sys Views for BMD,DXA Skeletal system Views for bone density,ACTIVE,0.60,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
38483-4,Creatinine [Mass/volume] in Blood,Creatinine [Mass/volume] in Blood,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
39156-5,Body mass index (BMI) [Ratio],Body mass index (BMI) [Ratio],ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/valuesets/VS-TWHAVitalSigns.fsh
42221-2,Manganese [Mass/volume] in Urine,Manganese [Moles/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
42254-3,Nuclear Ab [Presence] in Serum by Immunofluorescence,Nuclear Ab [Presence] in Serum by Immunofluorescence,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
42524-9,Mucus [Presence] in Stool by Microscopy,Mucus [Presence] in Stool by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
43371-4,Salmonella and Shigella [Presence] in Stool by Culture,Salmonella and Shigella sp identified in Stool by Organism specific culture,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
43755-8,Casts [#/volume] in Urine sediment by Automated count,Casts [#/area] in Urine sediment by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
4544-3,Hematocrit [Volume Fraction] of Blood,Hematocrit [Volume Fraction] of Blood by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,Hemoglobin A1c/Hemoglobin.total in Blood,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
4588-0,Hemoglobin H/Hemoglobin.total in Blood,Hemoglobin H/Hemoglobin.total in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
46419-8,Erythrocytes [#/volume] in Urine sediment by Automated count,Erythrocytes [#/area] in Urine sediment by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
46673-0,Color vision [RFC],Color vision [RFC],ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/profiles/TWHA-VisionTest.fsh
46702-7,Leukocytes [#/volume] in Urine sediment by Automated count,Leukocytes [#/area] in Urine sediment by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
46986-6,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,Cholesterol in VLDL 3 [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
47214-2,Homeostasis model assessment,Homeostasis model assessment,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
50235-1,Mucus [#/volume] in Urine sediment by Automated count,Mucus [#/area] in Urine sediment by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
50551-1,Bilirubin [Presence] in Urine by Test strip,Bilirubin.total [Presence] in Urine by Automated test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
50555-2,Glucose [Presence] in Urine by Test strip,Glucose [Presence] in Urine by Automated test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
50558-6,Nitrite [Presence] in Urine by Test strip,Nitrite [Presence] in Urine by Automated test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
50560-2,pH of Urine by Test strip,pH of Urine by Automated test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
50562-8,Specific gravity of Urine by Refractometer,Specific gravity of Urine by Refractometry automated,ACTIVE,0.75,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5176-3,Helicobacter pylori IgG Ab [Presence] in Serum,Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
51913-2,Hepatitis A virus Ab [Presence] in Serum or Plasma,Hepatitis A virus IgG+IgM Ab [Presence] in Serum,ACTIVE,0.80,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5193-8,Hepatitis B virus surface Ab [Presence] in Serum or Plasma,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5195-3,Hepatitis B virus surface Ag [Presence] in Serum,Hepatitis B virus surface Ag [Presence] in Serum,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
5196-1,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
53324-0,Spermatozoa [#/volume] in Urine sediment by Automated count,Spermatozoa [#/area] in Urine sediment by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5334-8,Rubella virus IgG Ab [Units/volume] in Serum or Plasma,Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
53975-9,Drug crystals [Presence] in Urine sediment,Drug crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5403-1,Varicella zoster virus IgG Ab [Units/volume] in Serum or Plasma,Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay,ACTIVE,0.88,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
55284-4,Blood pressure systolic and diastolic,Blood pressure systolic and diastolic,DISCOURAGED,1.00,相符,input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
5586-3,Arsenic [Mass/volume] in Urine,Arsenic [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
56086-2,Waist Circumference,Adult Waist Circumference Protocol,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh
5609-3,Cadmium [Mass/volume] in Blood,Cadmium [Mass/volume] in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5611-9,Cadmium [Mass/volume] in Urine,Cadmium [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5622-6,Chromium [Mass/volume] in Serum or Plasma,Chromium [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5623-4,Chromium [Mass/volume] in Urine,Chromium [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5625-9,Cobalt [Mass/volume] in Blood,Cobalt [Mass/volume] in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5627-5,Cobalt [Mass/volume] in Serum or Plasma,Cobalt [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5653-1,Formaldehyde [Mass/volume] in Urine,Formaldehyde [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5665-5,Indium [Mass/volume] in Blood,Indium [Mass/volume] in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5671-3,Lead [Mass/volume] in Blood,Lead [Mass/volume] in Blood,DISCOURAGED,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
5676-2,Lead [Mass/volume] in Urine,Lead [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5681-2,Manganese [Mass/volume] in Blood,Manganese [Mass/volume] in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5683-8,Manganese [Mass/volume] in Serum or Plasma,Manganese [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5685-3,Mercury [Mass/volume] in Blood,Mercury [Mass/volume] in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
56888-1,HIV 1 and 2 Ag and Ab panel [Presence] in Serum or Plasma,HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,ACTIVE,0.67,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
5689-5,Mercury [Mass/volume] in Urine,Mercury [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5766-1,Ammonium acid urate crystals [Presence] in Urine sediment,Ammonium urate crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,0.83,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5770-3,Bilirubin [Presence] in Urine by Test strip,Bilirubin.total [Presence] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5771-1,Bilirubin crystals [Presence] in Urine sediment,Bilirubin crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5773-7,Calcium carbonate crystals [Presence] in Urine sediment,Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
57734-6,Ketones [Presence] in Urine by Test strip,Ketones [Presence] in Urine by Automated test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
57735-3,Protein [Presence] in Urine by Automated test strip,Protein [Presence] in Urine by Automated test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-CoreDataset.fsh
5774-5,Calcium oxalate crystals [Presence] in Urine sediment,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5775-2,Calcium phosphate crystals [Presence] in Urine sediment,Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
57751-0,Hemoglobin [Presence] in Urine by Test strip,Hemoglobin [Presence] in Urine by Automated test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5777-8,Cholesterol crystals [Presence] in Urine sediment,Cholesterol crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5784-4,Cystine crystals [Presence] in Urine sediment,Cystine crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5787-7,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5788-5,Oval fat bodies [#/area] in Urine sediment by Microscopy high power field,Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5792-7,Glucose [Presence] in Urine by Test strip,Glucose [Mass/volume] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5794-3,Hemoglobin [Presence] in Urine by Test strip,Hemoglobin [Presence] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5796-8,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5797-6,Ketones [Presence] in Urine by Test strip,Ketones [Mass/volume] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5799-2,Leukocyte esterase [Presence] in Urine by Test strip,Leukocyte esterase [Presence] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5802-4,Nitrite [Presence] in Urine by Test strip,Nitrite [Presence] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5803-2,pH of Urine by Test strip,pH of Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5804-0,Protein [Mass/volume] in Urine by Test strip,Protein [Mass/volume] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
5810-7,Specific gravity of Urine,Specific gravity of Urine by Refractometry,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5813-1,Trichomonas vaginalis [Presence] in Urine sediment,Trichomonas vaginalis [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5814-9,Calcium magnesium ammonium phosphate crystals [Presence] in Urine sediment,Triple phosphate crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,0.57,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
5817-2,Uric acid crystals [Presence] in Urine sediment,Urate crystals [Presence] in Urine sediment by Light microscopy,ACTIVE,0.60,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
5821-4,Leukocytes [#/area] in Urine sediment by Microscopy high power field,Leukocytes [#/area] in Urine sediment by Microscopy high power field,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
5905-5,Monocytes/100 leukocytes in Blood by Automated count,Monocytes/Leukocytes in Blood by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
59261-8,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,Hemoglobin A1c/Hemoglobin.total standardized per IFCC-RMP for CDT in Blood,ACTIVE,0.83,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
60026-2,Leukocyte esterase [Presence] in Urine by Test strip,Leukocyte esterase [Presence] in Urine by Automated test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
60090-8,Indium [Mass/volume] in Serum or Plasma,Indium [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
60591-5,Patient summary Document,Patient summary Document,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/profiles/TWHA-Composition-EmergencySummary.fsh
62292-8,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma,ACTIVE,0.75,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
62487-4,Urobilinogen [Presence] in Urine by Test strip,Urobilinogen [Presence] in Urine by Automated test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
63557-3,Hepatitis B virus surface Ag [Units/volume] in Serum or Plasma by Immunoassay,Hepatitis B virus surface Ag [Units/volume] in Serum or Plasma by Immunoassay,ACTIVE,1.00,相符,input/fsh/valuesets/VS-CoreDataset.fsh
6690-2,Leukocytes [#/volume] in Blood | WBC [#/volume] in Blood,Leukocytes [#/volume] in Blood by Automated count,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
6709-0,Hippurate [Mass/volume] in Urine,Hippurate [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
70028-6,Megakaryocytes/100 leukocytes in Blood,Megakaryocytic nuclei/Leukocytes in Blood by Manual count,ACTIVE,0.67,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
706-2,Basophils/100 leukocytes in Blood by Automated count,Basophils/Leukocytes in Blood by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
713-8,Eosinophils/100 leukocytes in Blood by Automated count,Eosinophils/Leukocytes in Blood by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
718-7,Hemoglobin [Mass/volume] in Blood,Hemoglobin [Mass/volume] in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
72166-2,Tobacco smoking status,Tobacco smoking status,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh
72665-3,"trans,trans-Muconic acid [Mass/volume] in Urine","Trans,trans-muconic acid [Mass/volume] in Urine",ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
731-0,Lymphocytes [#/volume] in Blood by Automated count,Lymphocytes [#/volume] in Blood by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
736-9,Lymphocytes [Fraction] of WBC,Lymphocytes/Leukocytes in Blood by Automated count,ACTIVE,0.33,⚠️ 疑似不符（須人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
751-8,Neutrophils [#/volume] in Blood by Automated count,Neutrophils [#/volume] in Blood by Automated count,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
