code,ig_display,loinc_display,loinc_status,overlap,verdict,files
13950-1,Hepatitis A virus IgM Ab [Presence] in Serum or Plasma,Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
13952-7,Hepatitis B virus core Ab [Presence] in Serum or Plasma,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
13955-0,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
14099-6,Nickel [Mass/volume] in Urine,Nickel [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
14390-9,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by UV with P5P,Amylase [Enzymatic activity/volume] in Dialysis fluid,ACTIVE,0.40,部分相符（建議人工判讀）,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
14409-7,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by UV with P5P,Aspartate aminotransferase [Enzymatic activity/volume] in Pleural fluid,ACTIVE,0.67,部分相符（建議人工判讀）,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
14957-5,Microalbumin [Mass/volume] in Urine,Microalbumin [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1558-6,Fasting Glucose [Mass/volume] in Serum or Plasma | Fasting glucose [Mass/volume] in Serum or Plasma,Fasting glucose [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/examples/examples.fsh; input/fsh/valuesets/VS-CoreDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
16128-1,Hepatitis C virus Ab [Presence] in Serum,Hepatitis C virus Ab [Presence] in Serum,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
1709-5,Acetylcholinesterase [Enzymatic activity/volume] in Red Blood Cells,Acetylcholinesterase [Enzymatic activity/volume] in Red Blood Cells,DISCOURAGED,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
1744-2,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1759-0,Albumin/Globulin [Mass Ratio] in Serum or Plasma,Albumin/Globulin [Mass Ratio] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
17780-8,Helicobacter pylori Ag [Presence] in Stool,Helicobacter pylori Ag [Presence] in Stool by Immunoassay,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1783-0,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase [Enzymatic activity/volume] in Blood,ACTIVE,0.80,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase [Enzymatic activity/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh
1834-1,Alpha-1-fetoprotein [Mass/volume] in Serum or Plasma,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1869-7,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1884-6,Apolipoprotein B [Mass/volume] in Serum or Plasma,Apolipoprotein B [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
