loinc,display,component,component_display,property,property_display,time,time_display,system,system_display,scale,scale_display,method,method_display,class,status,source,fetched_at
26464-8,Leukocytes [#/volume] in Blood,LP14419-3,Leukocytes,LP6836-3,NCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
26508-2,Band form neutrophils/Leukocytes in Blood,LP286645-9,Neutrophils.band form/leukocytes,LP6838-9,NFr,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
26515-7,Platelets [#/volume] in Blood,LP14597-6,Platelets,LP6836-3,NCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
28539-5,MCH [Entitic mass],LP14449-0,Hemoglobin,LP6809-0,EntMass,LP6960-1,Pt,LP7536-8,RBC,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
2887-8,Protein [Presence] in Urine,LP15838-3,Protein,LP217195-9,PrThr,LP6960-1,Pt,LP7681-2,Urine,LP7751-3,Ord,,,LP7851-1,ACTIVE,tx $lookup,2026-08-22
29463-7,Body weight,LP65139-5,Body weight,LP6826-4,Mass,LP6960-1,Pt,LP310005-6,^Patient,LP7753-9,Qn,,,LP7774-5,ACTIVE,tx $lookup,2026-08-22
3016-3,Thyrotropin [Units/volume] in Serum or Plasma,LP14487-0,Thyrotropin,LP6773-8,ACnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
30239-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,LP15426-7,Aspartate aminotransferase,LP6789-4,CCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP6762-1,With P-5'-P,LP7786-9,ACTIVE,tx $lookup,2026-08-22
30428-7,MCV [Entitic mean volume] in Red Blood Cells,LP442509-8,Observation,LP443407-4,EntMeanVol,LP6960-1,Pt,LP7536-8,RBC,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
3043-7,Triglyceride [Mass/volume] in Blood,LP15275-8,Triglyceride,LP6827-2,MCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
3048-6,Triglyceride [Mass/volume] in Serum or Plasma --fasting,LP307200-8,Triglyceride^post CFst,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7784-4,ACTIVE,tx $lookup,2026-08-22
3137-7,Body height Measured,LP64598-3,Body height,LP6822-3,Len,LP6960-1,Pt,LP310005-6,^Patient,LP7753-9,Qn,LP6378-6,Measured,LP7768-7,ACTIVE,tx $lookup,2026-08-22
3141-9,Body weight Measured,LP65139-5,Body weight,LP6826-4,Mass,LP6960-1,Pt,LP310005-6,^Patient,LP7753-9,Qn,LP6378-6,Measured,LP7774-5,ACTIVE,tx $lookup,2026-08-22
33218-9,Bacteria [#/area] in Urine sediment by Automated count,LP14082-9,Bacteria,LP6835-5,Naric,LP6960-1,Pt,LP7690-3,Urine sed,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
33219-7,Epithelial cells.squamous [#/area] in Urine sediment by Automated count,LP70260-2,Epithelial cells.squamous,LP6835-5,Naric,LP6960-1,Pt,LP7690-3,Urine sed,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
33223-9,Hyaline casts [#/area] in Urine sediment by Automated count,LP16857-2,Hyaline casts,LP6835-5,Naric,LP6960-1,Pt,LP7690-3,Urine sed,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
33342-7,Epithelial cells [#/area] in Urine sediment by Automated count,LP14043-1,Epithelial cells,LP6835-5,Naric,LP6960-1,Pt,LP7690-3,Urine sed,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
33914-3,Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,LP69203-5,Glomerular filtration rate,LP6787-8,ArVRat,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP443418-1,Creatinine-based formula (MDRD)/1.73 sq M,LP7786-9,DISCOURAGED,tx $lookup,2026-08-22
35200-5,Cholesterol [Mass or Moles/volume] in Serum or Plasma,LP15493-7,Cholesterol,LP33032-1,MSCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,DISCOURAGED,tx $lookup,2026-08-22
38483-4,Creatinine [Mass/volume] in Blood,LP14355-9,Creatinine,LP6827-2,MCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
43755-8,Casts [#/area] in Urine sediment by Automated count,LP14044-9,Casts,LP6835-5,Naric,LP6960-1,Pt,LP7690-3,Urine sed,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,LP286151-8,Hemoglobin A1c/Hemoglobin.total,LP6831-4,MFr,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
46419-8,Erythrocytes [#/area] in Urine sediment by Automated count,LP14304-7,Erythrocytes,LP6835-5,Naric,LP6960-1,Pt,LP7690-3,Urine sed,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
46702-7,Leukocytes [#/area] in Urine sediment by Automated count,LP14419-3,Leukocytes,LP6835-5,Naric,LP6960-1,Pt,LP7690-3,Urine sed,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
50235-1,Mucus [#/area] in Urine sediment by Automated count,LP17770-6,Mucus,LP6835-5,Naric,LP6960-1,Pt,LP7690-3,Urine sed,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
50561-0,Protein [Mass/volume] in Urine by Automated test strip,LP15838-3,Protein,LP6827-2,MCnc,LP6960-1,Pt,LP7681-2,Urine,LP436123-6,SemiQn,LP65527-1,Test strip.automated,LP7851-1,ACTIVE,tx $lookup,2026-08-22
51478-6,Mucus [#/volume] in Urine by Automated count,LP17770-6,Mucus,LP6836-3,NCnc,LP6960-1,Pt,LP7681-2,Urine,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
51479-4,Spermatozoa [#/volume] in Urine by Automated count,LP14765-9,Spermatozoa,LP6836-3,NCnc,LP6960-1,Pt,LP7681-2,Urine,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
51480-2,Bacteria [#/volume] in Urine by Automated count,LP14082-9,Bacteria,LP6836-3,NCnc,LP6960-1,Pt,LP7681-2,Urine,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
51483-6,Casts [#/volume] in Urine by Automated count,LP14044-9,Casts,LP6836-3,NCnc,LP6960-1,Pt,LP7681-2,Urine,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
51484-4,Hyaline casts [#/volume] in Urine by Automated count,LP16857-2,Hyaline casts,LP6836-3,NCnc,LP6960-1,Pt,LP7681-2,Urine,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
51486-9,Epithelial cells.squamous [#/volume] in Urine by Automated count,LP70260-2,Epithelial cells.squamous,LP6836-3,NCnc,LP6960-1,Pt,LP7681-2,Urine,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
51487-7,Leukocytes [#/volume] in Urine by Automated count,LP14419-3,Leukocytes,LP6836-3,NCnc,LP6960-1,Pt,LP7681-2,Urine,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
5195-3,Hepatitis B virus surface Ag [Presence] in Serum,LP38331-2,Hepatitis B virus surface Ag,LP217195-9,PrThr,LP6960-1,Pt,LP7567-3,Ser,LP7751-3,Ord,,,LP7819-8,ACTIVE,tx $lookup,2026-08-22
5196-1,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,LP38331-2,Hepatitis B virus surface Ag,LP217195-9,PrThr,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7751-3,Ord,LP217197-5,IA,LP7819-8,ACTIVE,tx $lookup,2026-08-22
53324-0,Spermatozoa [#/area] in Urine sediment by Automated count,LP14765-9,Spermatozoa,LP6835-5,Naric,LP6960-1,Pt,LP7690-3,Urine sed,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
56086-2,Adult Waist Circumference Protocol,LP95314-8,Adult Waist Circumference Protocol,LP6769-6,-,LP6960-1,Pt,LP310005-6,^Patient,LP7747-1,-,,,LP95319-7,ACTIVE,tx $lookup,2026-08-22
56114-2,Waist Circumference by NHANES,LP72247-7,Circumference,LP6822-3,Len,LP6960-1,Pt,LP6991-6,Abdomen.mid,LP7753-9,Qn,LP95336-1,NHANES,LP7767-9,ACTIVE,tx $lookup,2026-08-22
56115-9,Waist Circumference by NCFS,LP72247-7,Circumference,LP6822-3,Len,LP6960-1,Pt,LP6991-6,Abdomen.mid,LP7753-9,Qn,LP95354-4,NCFS,LP7767-9,ACTIVE,tx $lookup,2026-08-22
5671-3,Lead [Mass/volume] in Blood,LP14259-3,Lead,LP6827-2,MCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7790-1,DISCOURAGED,tx $lookup,2026-08-22
57735-3,Protein [Presence] in Urine by Automated test strip,LP15838-3,Protein,LP217195-9,PrThr,LP6960-1,Pt,LP7681-2,Urine,LP7751-3,Ord,LP65527-1,Test strip.automated,LP7851-1,ACTIVE,tx $lookup,2026-08-22
5804-0,Protein [Mass/volume] in Urine by Test strip,LP15838-3,Protein,LP6827-2,MCnc,LP6960-1,Pt,LP7681-2,Urine,LP436123-6,SemiQn,LP6548-4,Test strip,LP7851-1,ACTIVE,tx $lookup,2026-08-22
59261-8,Hemoglobin A1c/Hemoglobin.total standardized per IFCC-RMP for CDT in Blood,LP448339-4,Hemoglobin A1c/Hemoglobin.total^^standardized per IFCC-RMP for CDT,LP6866-0,SFr,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
63557-3,Hepatitis B virus surface Ag [Units/volume] in Serum or Plasma by Immunoassay,LP38331-2,Hepatitis B virus surface Ag,LP6773-8,ACnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP217197-5,IA,LP7819-8,ACTIVE,tx $lookup,2026-08-22
6690-2,Leukocytes [#/volume] in Blood by Automated count,LP14419-3,Leukocytes,LP6836-3,NCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,LP6141-8,Automated count,LP7803-2,ACTIVE,tx $lookup,2026-08-22
770-8,Neutrophils/Leukocytes in Blood by Automated count,LP286655-8,Neutrophils/leukocytes,LP6838-9,NFr,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,LP6141-8,Automated count,LP7803-2,ACTIVE,tx $lookup,2026-08-22
77307-7,Lead [Mass/volume] in Venous blood,LP14259-3,Lead,LP6827-2,MCnc,LP6960-1,Pt,LP7073-2,BldV,LP7753-9,Qn,,,LP7790-1,ACTIVE,tx $lookup,2026-08-22
777-3,Platelets [#/volume] in Blood by Automated count,LP14597-6,Platelets,LP6836-3,NCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,LP6141-8,Automated count,LP7803-2,ACTIVE,tx $lookup,2026-08-22
785-6,MCH [Entitic mass] by Automated count,LP14449-0,Hemoglobin,LP6809-0,EntMass,LP6960-1,Pt,LP7536-8,RBC,LP7753-9,Qn,LP6141-8,Automated count,LP7803-2,ACTIVE,tx $lookup,2026-08-22
787-2,MCV [Entitic mean volume] in Red Blood Cells by Automated count,LP442509-8,Observation,LP443407-4,EntMeanVol,LP6960-1,Pt,LP7536-8,RBC,LP7753-9,Qn,LP6141-8,Automated count,LP7803-2,ACTIVE,tx $lookup,2026-08-22
798-9,Erythrocytes [#/volume] in Urine by Automated count,LP14304-7,Erythrocytes,LP6836-3,NCnc,LP6960-1,Pt,LP7681-2,Urine,LP7753-9,Qn,LP6141-8,Automated count,LP7851-1,ACTIVE,tx $lookup,2026-08-22
804-5,Leukocytes [#/volume] in Blood by Manual count,LP14419-3,Leukocytes,LP6836-3,NCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,LP6377-8,Manual count,LP7803-2,ACTIVE,tx $lookup,2026-08-22
8280-0,Waist Circumference at umbilicus by Tape measure,LP72252-7,Circumference.at umbilicus,LP6822-3,Len,LP6960-1,Pt,LP6991-6,Abdomen.mid,LP7753-9,Qn,LP6543-5,Tape measure,LP7767-9,ACTIVE,tx $lookup,2026-08-22
8281-8,Waist Circumference at umbilicus by US,LP72252-7,Circumference.at umbilicus,LP6822-3,Len,LP6960-1,Pt,LP6991-6,Abdomen.mid,LP7753-9,Qn,LP6572-4,US,LP7767-9,ACTIVE,tx $lookup,2026-08-22
8302-2,Body height,LP64598-3,Body height,LP6822-3,Len,LP6960-1,Pt,LP310005-6,^Patient,LP7753-9,Qn,,,LP7768-7,ACTIVE,tx $lookup,2026-08-22
83082-8,Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay,LP14543-0,Cancer Ag 125,LP6773-8,ACnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP217197-5,IA,LP7786-9,ACTIVE,tx $lookup,2026-08-22
83085-1,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay,LP28643-2,Carcinoembryonic Ag,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP217197-5,IA,LP7786-9,ACTIVE,tx $lookup,2026-08-22
87926-2,Epithelial cells [#/volume] in Urine by Automated,LP14043-1,Epithelial cells,LP6836-3,NCnc,LP6960-1,Pt,LP7681-2,Urine,LP7753-9,Qn,LP70259-4,Automated,LP7851-1,ACTIVE,tx $lookup,2026-08-22
88112-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,LP15426-7,Aspartate aminotransferase,LP6789-4,CCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP264591-1,No addition of P-5'-P,LP7786-9,ACTIVE,tx $lookup,2026-08-22
98979-8,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI 2021)/1.73 sq M",LP69203-5,Glomerular filtration rate,LP6787-8,ArVRat,LP6960-1,Pt,LP7579-8,Ser/Plas/Bld,LP7753-9,Qn,LP443424-9,Creatinine-based formula (CKD-EPI 2021)/1.73 sq M,LP7786-9,ACTIVE,tx $lookup,2026-08-22
